company,newsroom_page,tag,link,year,base
Amazon,0,a,/news-releases/news-release-details/aws-announces-general-availability-amazon-quantum-ledger,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-air-cargo-flights-partnership-red-cross-and-amazon,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-announces-amazon-career-day-september-17th-30000,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-announces-breakthrough-collaborations-global-retailers,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/introducing-all-new-fire-tv-cube-next-generation-fire-tv,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazonfresh-expands-indianapolis-1-and-2-hour-delivery,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-prime-video-announces-new-amazon-original-stand-specials,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/rihannas-savage-x-fenty-show-presented-amazon-prime-video-stream,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazonfresh-expands-houston-minneapolis-and-phoenix-1-and-2-hour,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-announces-150-new-tools-and-services-have-launched-2019,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/aws-announces-general-availability-amazon-forecast,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-expands-portland-tech-hub-and-announces-plans-create-400,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/rebel-wilson-teams-amazon-prime-video-host-first-australian,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-announces-plans-expand-utah-new-fulfillment-center-west,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/globe-and-mail-selects-aws-its-preferred-cloud-provider,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/aws-announces-general-availability-aws-lake-formation,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazons-treasure-truck-celebrates-millions-subscribers-announces,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-introduces-new-exclusive-prime-student-benefit-amazon,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/alexa-donate-happy-school-year,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-continues-investments-renewable-energy-announces-two-new,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-announces-plans-expand-pennsylvania-new-pittsburgh,2019,https://press.aboutamazon.com
