company,rank,fortune_link,co_website,newsroom_link,pressroom_link,corporate_link,final
Phillips 66,27,https://fortune.com/company/phillips/fortune500/,https://www.phillips66.com/,https://www.phillips66.com/newsroom,https://www.phillips66.com/about/energy-research-and-innovation,https://digitalmedia.phillips66.com/portals/m7bll5sq/ExternalCorporateBrandPortal,https://investor.phillips66.com/financial-information/default.aspx
Comcast,28,https://fortune.com/company/comcast/fortune500/,https://corporate.comcast.com/,http://business.comcast.com/,https://corporate.comcast.com/press,https://corporate.comcast.com/#main-anchor,https://corporate.comcast.com/press
Anthem,29,https://fortune.com/company/anthem/fortune500/,https://www.antheminc.com/,http://ir.antheminc.com/phoenix.zhtml?c=130104&p=irol-news&nyo=0,https://www.antheminc.com/annual-report/2019/addressing-food-insecurity.html,https://www.antheminc.com/cs//groups/public/@wp_corp_main/documents/wlp_assets/stockdata.xml,https://ir.antheminc.com/press-releases?c=130104&nyo=0&p=irol-news
Wells Fargo,30,https://fortune.com/company/wells-fargo/fortune500/,https://www.wellsfargo.com/,https://www.wellsfargo.com/international-remittances/?linkLoc=fn,https://connect.secure.wellsfargo.com/auth/login/present?origin=irt,https://www.wellsfargo.com/about/corporate-responsibility/,https://newsroom.wf.com/English/news-releases/default.aspx
Citigroup,31,https://fortune.com/company/citigroup/fortune500/,https://www.citigroup.com/,https://www.citigroup.com/citi/citi-news-alerts/,https://www.citigroup.com/citi/investor/pres.htm,https://www.citigroup.com/citi/investor/corporate_governance.html,https://www.citigroup.com/citi/news/news_list_view.html
Valero Energy,32,https://fortune.com/company/valero-energy/fortune500/,https://www.valero.com/,https://www.valero.com/about/news-room,https://www.valero.com/responsibility,https://www.linkedin.com/company/valero-energy-corporation,https://www.valero.com/about/news-room
General Electric,33,https://fortune.com/company/general-electric/fortune500/,https://www.ge.com/,https://www.ge.com/news/,https://www.ge.com/news/press-releases,https://www.gehealthcare.com/campaigns/corporate/Efficiency,https://www.ge.com/news/press-releases
Dell Technologies,34,https://fortune.com/company/dell-technologies/fortune500/,https://www.delltechnologies.com/,https://corporate.delltechnologies.com/en-us/newsroom.htm,https://www.delltechnologies.com/en-us/storage/powerstore-storage-appliance.htm,https://corporate.delltechnologies.com/en-us/covid-19-response/index.htm,https://corporate.delltechnologies.com/en-us/newsroom/announcements.htm#/filter-on/Country:en-us
Johnson & Johnson,35,https://fortune.com/company/johnson-johnson/fortune500/,https://www.jnj.com/,https://www.jnj.com/latest-news,https://www.jnj.com/healthcare-products/prescription,https://www.jnj.com/corporate/privacy-policy,https://www.jnj.com/latest-news?all
State Farm Insurance,36,https://fortune.com/company/state-farm-insurance-cos/fortune500/,https://www.statefarm.com/,https://newsroom.statefarm.com/,https://ventures.statefarm.com/,https://www.statefarm.com/insurance/identity-restoration,https://newsroom.statefarm.com/?h=1&t=releases
Target,37,https://fortune.com/company/target/fortune500/,https://corporate.target.com/,https://corporate.target.com/news-features/gallery,https://corporate.target.com/press/multimedia,https://corporate.target.com/#nav-mobile,https://corporate.target.com/search-results?mediaType=Press%20release&page=1&sort=publishDate&sortOrder=desc
